Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           2.7739       2.7739       0.0000     0.0
0.0010           2.7080       2.3425       0.3655   942.5
0.0020           2.6809       1.8945       0.7864  2028.0
0.0030           2.6919       2.0299       0.6621  1707.3
0.0040           2.7149       2.4127       0.3022   779.3
0.0050           2.7280       2.6854       0.0426   109.8
0.0060           2.7289       2.6990       0.0298    76.9
0.0070           2.7251       2.4467       0.2785   718.1
0.0080           2.7042       2.0624       0.6418  1655.0
0.0090           2.6775       1.8890       0.7884  2033.2
0.0100           2.6968       2.2843       0.4125  1063.6
0.0110           2.7727       2.7534       0.0193    49.7
0.0120           2.7108       2.3953       0.3155   813.6
0.0130           2.6721       1.9147       0.7573  1952.9
0.0140           2.7067       1.9965       0.7102  1831.5
0.0150           2.7336       2.3737       0.3598   927.9
0.0160           2.7423       2.6717       0.0706   182.0
0.0170           2.7435       2.7232       0.0203    52.4
0.0180           2.7336       2.5024       0.2313   596.4
0.0190           2.7128       2.1234       0.5895  1520.1
0.0200           2.6657       1.8816       0.7842  2022.2
0.0210           2.6805       2.1619       0.5186  1337.3
0.0220           2.7587       2.7078       0.0508   131.1
0.0230           2.7253       2.5127       0.2126   548.2
0.0240           2.6775       1.9659       0.7117  1835.2
0.0250           2.6926       1.9424       0.7503  1934.8
0.0260           2.7260       2.2913       0.4348  1121.1
0.0270           2.7274       2.6153       0.1121   289.1
0.0280           2.7306       2.7110       0.0196    50.5
0.0290           2.7237       2.5418       0.1819   469.0
0.0300           2.7166       2.1887       0.5279  1361.3
0.0310           2.6940       1.9067       0.7874  2030.4
0.0320           2.6884       2.0837       0.6047  1559.4
0.0330           2.7780       2.6206       0.1575   406.1
0.0340           2.7746       2.5894       0.1852   477.7
0.0350           2.7067       2.0542       0.6525  1682.6
0.0360           2.7100       1.9148       0.7952  2050.7
0.0370           2.7378       2.2027       0.5351  1379.8
0.0380           2.7398       2.5486       0.1912   493.2
0.0390           2.7491       2.7122       0.0368    95.0
0.0400           2.7478       2.6177       0.1301   335.6
0.0410           2.7180       2.3159       0.4021  1036.9
0.0420           2.7100       1.9825       0.7274  1875.9
0.0430           2.6827       1.9498       0.7329  1889.9
0.0440           2.7266       2.3818       0.3449   889.3
0.0450           2.7829       2.6649       0.1180   304.4
0.0460           2.7512       2.2618       0.4894  1262.1
0.0470           2.7357       1.9125       0.8232  2122.8
0.0480           2.7717       2.0740       0.6977  1799.1
0.0490           2.8054       2.4522       0.3533   911.0
0.0500           2.8014       2.7171       0.0843   217.3
0.0510           2.8059       2.7326       0.0732   188.9
0.0520           2.8037       2.4910       0.3126   806.2
0.0530           2.7843       2.1185       0.6658  1716.9
0.0540           2.7453       1.9091       0.8362  2156.3
0.0550           2.7793       2.2067       0.5726  1476.6
0.0560           2.8392       2.6894       0.1497   386.1
0.0570           2.8168       2.4828       0.3340   861.3
0.0580           2.7778       1.9917       0.7861  2027.2
0.0590           2.7769       1.9587       0.8182  2109.8
0.0600           2.8236       2.2900       0.5336  1376.0
0.0610           2.8280       2.6363       0.1917   494.2
0.0620           2.8363       2.7850       0.0513   132.3
0.0630           2.8328       2.6778       0.1550   399.7
0.0640           2.8270       2.3706       0.4564  1177.0
0.0650           2.8074       2.0577       0.7497  1933.4
0.0660           2.7926       2.0470       0.7456  1922.8
0.0670           2.8381       2.3955       0.4426  1141.5
0.0680           2.8630       2.5901       0.2729   703.8
0.0690           2.8360       2.3087       0.5273  1359.7
0.0700           2.8455       2.0065       0.8390  2163.6
0.0710           2.8381       2.1322       0.7060  1820.5
0.0720           2.8599       2.4929       0.3670   946.4
0.0730           2.8568       2.7646       0.0923   237.9
0.0740           2.8640       2.7943       0.0697   179.8
0.0750           2.8611       2.5624       0.2987   770.3
0.0760           2.8638       2.1624       0.7014  1808.7
0.0770           2.8293       1.8913       0.9380  2418.9
0.0780           2.8215       2.1691       0.6524  1682.4
0.0790           2.9053       2.7599       0.1454   374.9
0.0800           2.8695       2.5612       0.3084   795.2
0.0810           2.8134       1.9698       0.8436  2175.4
