Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           5.4819       5.4819       0.0000     0.0
0.0010           5.4858       5.4819       0.0038     0.5
0.0020           5.4906       5.4819       0.0087     1.3
0.0030           5.4945       5.4818       0.0127     1.8
0.0040           5.4982       5.4816       0.0166     2.4
0.0050           5.5024       5.4814       0.0210     3.0
0.0060           5.5055       5.4810       0.0245     3.5
0.0070           5.5115       5.4803       0.0313     4.5
0.0080           5.5152       5.4793       0.0359     5.1
0.0090           5.5209       5.4779       0.0430     6.2
0.0100           5.5266       5.4759       0.0507     7.3
0.0110           5.5258       5.4735       0.0524     7.5
0.0120           5.5354       5.4702       0.0652     9.3
0.0130           5.5426       5.4656       0.0770    11.0
0.0140           5.5418       5.4596       0.0822    11.8
0.0150           5.5457       5.4520       0.0937    13.4
0.0160           5.5414       5.4424       0.0991    14.2
0.0170           5.5453       5.4303       0.1150    16.5
0.0180           5.5466       5.4149       0.1318    18.9
0.0190           5.5487       5.3953       0.1535    22.0
0.0200           5.5560       5.3702       0.1858    26.6
0.0210           5.5610       5.3382       0.2227    31.9
0.0220           5.5680       5.2973       0.2707    38.8
0.0230           5.5763       5.2450       0.3312    47.5
0.0240           5.5871       5.1777       0.4094    58.6
0.0250           5.5858       5.0924       0.4934    70.7
0.0260           5.5931       4.9846       0.6085    87.2
0.0270           5.5944       4.8490       0.7455   106.8
0.0280           5.5917       4.6792       0.9125   130.7
0.0290           5.5943       4.4694       1.1250   161.2
0.0300           5.6129       4.2088       1.4041   201.2
0.0310           5.6088       3.8903       1.7184   246.2
0.0320           5.6457       3.5049       2.1408   306.7
0.0330           5.6513       3.0436       2.6077   373.6
0.0340           5.6352       2.5057       3.1295   448.3
0.0350           5.6446       1.8897       3.7549   538.0
0.0360           5.6567       1.1994       4.4573   638.6
0.0370           5.6848       0.4450       5.2398   750.7
0.0380           5.7084      -0.3568       6.0652   868.9
0.0390           5.6851      -1.1784       6.8634   983.3
0.0400           5.6428      -1.9937       7.6365  1094.1
0.0410           5.5797      -2.7725       8.3522  1196.6
0.0420           5.5832      -3.4889       9.0720  1299.7
0.0430           5.5432      -4.1212       9.6644  1384.6
0.0440           5.5177      -4.6536      10.1714  1457.2
0.0450           5.4669      -5.0777      10.5446  1510.7
0.0460           5.4329      -5.3925      10.8254  1550.9
0.0470           5.3933      -5.6052      10.9985  1575.7
0.0480           5.4696      -5.7257      11.1953  1603.9
0.0490           5.3847      -5.7658      11.1505  1597.5
0.0500           5.3095      -5.7400      11.0495  1583.0
0.0510           5.3062      -5.6619      10.9681  1571.4
0.0520           5.2548      -5.5455      10.8003  1547.3
0.0530           5.2656      -5.4055      10.6712  1528.8
0.0540           5.2752      -5.2584      10.5336  1509.1
0.0550           5.2792      -5.1158      10.3949  1489.2
0.0560           5.2611      -4.9846      10.2457  1467.9
0.0570           5.2435      -4.8769      10.1204  1449.9
0.0580           5.2751      -4.7973      10.0724  1443.0
0.0590           5.2543      -4.7461      10.0004  1432.7
0.0600           5.2657      -4.7158       9.9815  1430.0
0.0610           5.2729      -4.7009       9.9738  1428.9
0.0620           5.2471      -4.6900       9.9371  1423.6
0.0630           5.2883      -4.6705       9.9588  1426.7
0.0640           5.2100      -4.6364       9.8464  1410.6
0.0650           5.1072      -4.5800       9.6872  1387.8
0.0660           5.0969      -4.5009       9.5978  1375.0
0.0670           5.0932      -4.4002       9.4934  1360.1
0.0680           5.0755      -4.2838       9.3593  1340.9
0.0690           5.0588      -4.1565       9.2154  1320.2
0.0700           5.0683      -4.0261       9.0944  1302.9
0.0710           5.0511      -3.9031       8.9542  1282.8
0.0720           4.9645      -3.7929       8.7574  1254.6
0.0730           4.9755      -3.7011       8.6766  1243.1
0.0740           4.9669      -3.6333       8.6003  1232.1
0.0750           4.9620      -3.5943       8.5564  1225.8
0.0760           4.9658      -3.5911       8.5569  1225.9
0.0770           4.9222      -3.6231       8.5453  1224.3
0.0780           4.9595      -3.6904       8.6499  1239.2
0.0790           4.9491      -3.7860       8.7350  1251.4
0.0800           4.9414      -3.9029       8.8443  1267.1
0.0810           4.9111      -4.0328       8.9439  1281.4
0.0820           4.9521      -4.1723       9.1245  1307.2
0.0830           4.9930      -4.3151       9.3081  1333.5
0.0840           4.9477      -4.4551       9.4028  1347.1
0.0850           4.9519      -4.5898       9.5418  1367.0
0.0860           4.9680      -4.7171       9.6852  1387.5
0.0870           4.9914      -4.8267       9.8180  1406.6
0.0880           4.9758      -4.9130       9.8888  1416.7
0.0890           4.9914      -4.9726       9.9640  1427.5
0.0900           4.9435      -5.0029       9.9464  1425.0
0.0910           4.9803      -5.0069       9.9871  1430.8
0.0920           4.9205      -4.9903       9.9108  1419.9
0.0930           4.8762      -4.9637       9.8399  1409.7
0.0940           4.8149      -4.9351       9.7500  1396.8
0.0950           4.7603      -4.9113       9.6716  1385.6
0.0960           4.6802      -4.8931       9.5733  1371.5
0.0970           4.7203      -4.8828       9.6031  1375.8
0.0980           4.7019      -4.8775       9.5794  1372.4
0.0990           4.6582      -4.8664       9.5245  1364.5
0.1000           4.5618      -4.8391       9.4009  1346.8
0.1010           4.5255      -4.7919       9.3175  1334.9
0.1020           4.5282      -4.7292       9.2574  1326.3
0.1030           4.5678      -4.6592       9.2270  1321.9
0.1040           4.6019      -4.5911       9.1931  1317.0
0.1050           4.5915      -4.5313       9.1227  1307.0
0.1060           4.5337      -4.4770       9.0107  1290.9
0.1070           4.5032      -4.4263       8.9295  1279.3
0.1080           4.4905      -4.3755       8.8659  1270.2
0.1090           4.4652      -4.3181       8.7833  1258.3
0.1100           4.4467      -4.2486       8.6953  1245.7
0.1110           4.3929      -4.1654       8.5583  1226.1
0.1120           4.3333      -4.0682       8.4014  1203.6
0.1130           4.2910      -3.9549       8.2459  1181.4
0.1140           4.2588      -3.8360       8.0948  1159.7
0.1150           4.1992      -3.7187       7.9179  1134.4
0.1160           4.2095      -3.6190       7.8284  1121.5
0.1170           4.1695      -3.5515       7.7211  1106.2
0.1180           4.1140      -3.5248       7.6388  1094.4
0.1190           4.1056      -3.5471       7.6527  1096.4
0.1200           4.1363      -3.6238       7.7602  1111.8
0.1210           4.0934      -3.7556       7.8490  1124.5
0.1220           4.0954      -3.9384       8.0338  1151.0
0.1230           4.1061      -4.1640       8.2701  1184.8
0.1240           4.0566      -4.4194       8.4760  1214.3
0.1250           4.0579      -4.6878       8.7457  1253.0
0.1260           3.9869      -4.9520       8.9388  1280.6
0.1270           3.9624      -5.1982       9.1606  1312.4
0.1280           3.9401      -5.4156       9.3557  1340.4
0.1290           3.9436      -5.5935       9.5371  1366.3
0.1300           3.9223      -5.7263       9.6487  1382.3
0.1310           3.8692      -5.8089       9.6781  1386.5
0.1320           3.8527      -5.8386       9.6913  1388.4
0.1330           3.8339      -5.8136       9.6475  1382.1
0.1340           3.8187      -5.7382       9.5569  1369.2
0.1350           3.8385      -5.6210       9.4595  1355.2
0.1360           3.8546      -5.4794       9.3340  1337.2
0.1370           3.8717      -5.3364       9.2081  1319.2
0.1380           3.8603      -5.2099       9.0702  1299.5
0.1390           3.8242      -5.1152       8.9394  1280.7
0.1400           3.8183      -5.0581       8.8763  1271.7
0.1410           3.7544      -5.0342       8.7887  1259.1
0.1420           3.7139      -5.0313       8.7452  1252.9
