Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           2.7739       2.7739       0.0000     0.0
0.0010           2.7109       2.3385       0.3724   960.4
0.0020           2.6999       1.8917       0.8081  2084.0
0.0030           2.7515       2.0458       0.7057  1820.0
0.0040           2.8024       2.4591       0.3433   885.3
0.0050           2.8047       2.7563       0.0483   124.6
0.0060           2.8063       2.7748       0.0314    81.0
0.0070           2.8079       2.5046       0.3033   782.1
0.0080           2.8205       2.0824       0.7380  1903.2
0.0090           2.7796       1.8872       0.8923  2301.1
0.0100           2.7829       2.3378       0.4451  1147.8
0.0110           2.8637       2.8593       0.0044    11.2
0.0120           2.7906       2.4174       0.3732   962.4
0.0130           2.7618       1.9022       0.8596  2216.8
0.0140           2.7882       2.0347       0.7535  1943.1
0.0150           2.8309       2.4567       0.3742   965.0
0.0160           2.8503       2.7798       0.0705   181.8
0.0170           2.8533       2.8353       0.0179    46.2
0.0180           2.8468       2.5951       0.2517   649.1
0.0190           2.8096       2.1755       0.6341  1635.2
0.0200           2.7743       1.8906       0.8837  2278.9
0.0210           2.7551       2.1846       0.5705  1471.3
0.0220           2.8418       2.7846       0.0572   147.5
0.0230           2.8084       2.5452       0.2633   678.9
0.0240           2.7436       1.9608       0.7828  2018.7
0.0250           2.7626       1.9713       0.7913  2040.7
0.0260           2.8054       2.3594       0.4461  1150.3
0.0270           2.8265       2.7129       0.1136   292.9
0.0280           2.8333       2.8286       0.0046    12.0
0.0290           2.8265       2.6640       0.1625   419.0
0.0300           2.8059       2.2838       0.5222  1346.5
0.0310           2.7861       1.9371       0.8490  2189.4
0.0320           2.7639       2.0577       0.7062  1821.1
0.0330           2.8479       2.6640       0.1840   474.5
0.0340           2.8504       2.7022       0.1482   382.2
0.0350           2.8003       2.0901       0.7102  1831.6
0.0360           2.8097       1.9294       0.8803  2270.1
0.0370           2.8544       2.2770       0.5774  1489.0
0.0380           2.8681       2.6780       0.1901   490.3
0.0390           2.8804       2.8661       0.0143    37.0
0.0400           2.8822       2.7572       0.1250   322.4
0.0410           2.8825       2.3986       0.4839  1247.8
0.0420           2.8649       2.0189       0.8459  2181.5
0.0430           2.8283       2.0512       0.7771  2004.0
0.0440           2.8874       2.5777       0.3098   798.8
0.0450           2.8981       2.7045       0.1937   499.4
0.0460           2.8333       2.1881       0.6452  1663.8
0.0470           2.8404       1.9575       0.8828  2276.6
0.0480           2.8772       2.2422       0.6350  1637.6
0.0490           2.8751       2.6407       0.2344   604.4
0.0500           2.8763       2.8561       0.0201    51.9
0.0510           2.8740       2.7941       0.0798   205.8
0.0520           2.8460       2.5071       0.3390   874.1
0.0530           2.8371       2.1809       0.6562  1692.2
0.0540           2.8344       2.1126       0.7218  1861.2
0.0550           2.8531       2.3669       0.4863  1254.0
0.0560           2.8475       2.4916       0.3560   918.0
0.0570           2.8384       2.2974       0.5410  1395.0
0.0580           2.8422       2.0926       0.7496  1933.0
0.0590           2.8872       2.1938       0.6934  1788.1
0.0600           2.8939       2.5283       0.3656   942.8
0.0610           2.9144       2.8215       0.0929   239.6
0.0620           2.9191       2.9057       0.0135    34.7
0.0630           2.9301       2.7375       0.1926   496.6
0.0640           2.9025       2.3931       0.5094  1313.6
0.0650           2.8946       2.1053       0.7893  2035.5
0.0660           2.8857       2.1453       0.7404  1909.4
