,x,V
0,"[0.34228086749973474, 0.7912327380528538]",0.27082382797492116
1,"[0.6348544837662858, 0.7589281159994196]",0.4818089172985314
2,"[0.8845450609046112, 0.9357591581181693]",0.8277211415096838
3,"[0.04822107597540093, 0.06427465406249044]",0.003099392976839964
4,"[0.23953688674817142, 0.7543241462266298]",0.1806884575860993
5,"[0.31968177752377, 0.768329534501127]",0.24562095131333106
6,"[0.13048395861739914, 0.0641803332062616]",0.008374503942136726
7,"[0.931551599618179, 0.056491065722509726]",0.052624342637939615
8,"[0.7038265336047085, 0.29313853577773363]",0.20631867950240207
9,"[0.8390082881982831, 0.38458411864965325]",0.32266926305649096
10,"[0.3571547792099192, 0.9460687968371507]",0.3378929922517665
11,"[0.6902998226407447, 0.13725101724051259]",0.09474435285838764
12,"[0.48352486415272267, 0.33266393017632123]",0.16085128164701654
13,"[0.6238996270013739, 0.8294819662508942]",0.5175134893482991
14,"[0.3708294735736294, 0.01940605600332712]",0.007196337531854166
15,"[0.8546578952053754, 0.14265960273591483]",0.12192515580511197
16,"[0.21796590371853397, 0.3140803953474214]",0.06845881721217513
17,"[0.039518087802162594, 0.9871417154882735]",0.039009952985843
18,"[0.9670920971289738, 0.3005159497862575]",0.29062660009949715
19,"[0.7852645164722318, 0.07166044618095113]",0.05627240562046898
20,"[0.6188884814597243, 0.5953223186712507]",0.36843812578153246
21,"[0.9948456459313373, 0.27226022692786833]",0.27085690131946766
22,"[0.17934764789106217, 0.06370538362544453]",0.011425410711221263
23,"[0.2707122830212455, 0.4215459165199379]",0.11411765745939575
24,"[0.39966136875929226, 0.29805263299812823]",0.11912012326634293
25,"[0.6880701240942767, 0.6252358899711615]",0.43020613640065264
26,"[0.3065833302579053, 0.5244435714470176]",0.16078565666657635
27,"[0.6741902634610613, 0.1327820401108626]",0.08952035860523964
28,"[0.11974740537519601, 0.1978449475572186]",0.02369141913656865
29,"[0.5755240566489168, 0.8457991315413013]",0.4867777472947805
30,"[0.46735125965640656, 0.0004281496633593562]",0.00020009628449246155
31,"[0.9106208907623642, 0.8911625967111302]",0.8115112776311909
32,"[0.2262714906290607, 0.6943401661296664]",0.15710938439378927
33,"[0.408195682351839, 0.6443598619492545]",0.26302491352851276
34,"[0.07134418584617308, 0.006645055538869515]",0.0004740860773232485
35,"[0.15258965052189577, 0.6336937155285655]",0.09669510259042544
36,"[0.5009893119750526, 0.5784278786496632]",0.28978618495188396
37,"[0.6588235603355654, 0.38919136836373003]",0.25640844295726317
38,"[0.8885277675587042, 0.07834439879022359]",0.06961117375780622
39,"[0.04444060589090526, 0.3073832665685857]",0.013660298607033593
40,"[0.9981810235017934, 0.3210624065497727]",0.320478401577801
41,"[0.6932102878835349, 0.5077711188454199]",0.35199216347377815
42,"[0.6139538049699717, 0.47504989706206036]",0.2916586918518453
43,"[0.9669451080785643, 0.8664671614868444]",0.8378261831104236
44,"[0.5052285946901893, 0.7208581869763097]",0.36419816877695865
45,"[0.22576512937375426, 0.9229680928612037]",0.2083740108926569
46,"[0.5762202098127265, 0.6486828367215819]",0.3737841602776245
47,"[0.5906092985061456, 0.18277505638194902]",0.10794864783416412
48,"[0.8095867915499511, 0.09761447123359768]",0.07902738657485334
49,"[0.5894321559591281, 0.46178303832902534]",0.2721897718676341
50,"[0.9017789492874514, 0.3204696893906176]",0.288992819777147
51,"[0.4343546579922165, 0.34634602784232604]",0.15043701047041622
52,"[0.946403474629744, 0.06708302630261354]",0.06348760918147195
53,"[0.9562652353943653, 0.6567438745534747]",0.628021335793686
54,"[0.529835655269035, 0.1754468664561455]",0.09295800545369072
55,"[0.42515617669209427, 0.07681380430813134]",0.03265786335681984
56,"[0.02535272687154544, 0.7664465534239102]",0.019431510130593757
57,"[0.208018134586907, 0.008312014054832173]",0.0017290496583463415
58,"[0.15289882068332783, 0.6459419973552609]",0.09876376962545266
59,"[0.3366081190439295, 0.28105852696296774]",0.09460658210226211
60,"[0.5026790955804654, 0.29962706999024036]",0.15061626455411883
61,"[0.7093572277780607, 0.4884484158668234]",0.34648441419187515
62,"[0.6376724561689019, 0.10662415957839866]",0.06799128972530243
63,"[0.30597667748705104, 0.37025986999950844]",0.11329088482923703
64,"[0.47186076640851216, 0.24423585540936832]",0.1152453179179031
65,"[0.48462749095746593, 0.19642698089727884]",0.09519391490859833
66,"[0.4333721937645464, 0.9845897209601838]",0.42669380733053747
67,"[0.14546864838946327, 0.8085371595633509]",0.11761680777433646
68,"[0.7887037797417598, 0.7218277515638425]",0.5693082759808985
69,"[0.8031885854746333, 0.6888476232220213]",0.5532745481032585
70,"[0.14456335384489394, 0.0958819654216676]",0.013861018494596419
71,"[0.7057959684675705, 0.6940368560353479]",0.48984841495765624
72,"[0.03115893222161492, 0.7804550126221433]",0.024318144840312982
73,"[0.038511492095437805, 0.041597484590025546]",0.0016019811989788648
74,"[0.046007604004938196, 0.17816344266018624]",0.00819687311806636
75,"[0.4141701543932633, 0.7248505175530138]",0.30021145076696854
76,"[0.14226913709609113, 0.024643205909742227]",0.00350596764006032
77,"[0.5611768937817084, 0.18750106735674021]",0.10522126656001037
78,"[0.9867997798598485, 0.2318386126560068]",0.2287782919319602
79,"[0.758222114043625, 0.17363990560426634]",0.13165761630960232
80,"[0.18742242705892254, 0.41396677747822874]",0.07758665815673055
81,"[0.0017597614110355098, 0.27836473505661075]",0.0004898555189457471
82,"[0.9267691075466972, 0.6264313310596453]",0.5805572056254371
83,"[0.07803210286053675, 0.7272691116167787]",0.05675033812497165
84,"[0.3763820236641562, 0.48552119666746185]",0.18274145053354204
85,"[0.7634158129393923, 0.9498137563516572]",0.7251028409462182
86,"[0.9038649490881732, 0.0969382421251751]",0.0876190792831684
87,"[0.5217815325785926, 0.09185824659709596]",0.04792993668941502
88,"[0.5524428445425307, 0.010548448599247195]",0.0058274149496787934
89,"[0.0580169155760909, 0.0919115379200538]",0.005332423935976439
90,"[0.6288463776794663, 0.7576637407277027]",0.4764540988556901
91,"[0.44304908368159046, 0.8454589503729318]",0.3745798132531267
92,"[0.2572563918523869, 0.7478835066109828]",0.1923978124366522
93,"[0.43006060697863624, 0.5414501915939144]",0.2328563980455777
94,"[0.19411460334487518, 0.2806658306569847]",0.05448133639044049
95,"[0.18246621790405926, 0.5024571138558227]",0.09168144922426126
96,"[0.31942928402871695, 0.08524566487896779]",0.02722996169884062
97,"[0.3581282051192197, 0.7925626930070355]",0.2838390546910648
98,"[0.43131228505797337, 0.668567028048766]",0.28836117258213145
99,"[0.7928832710374808, 0.6303876243565333]",0.4998238016213548
100,"[0.8993169962323736, 0.9288759443154426]",0.8353539241142733
101,"[0.4271147388210236, 0.48973630670177326]",0.2091735947281006
102,"[0.03627033494479992, 0.08380277604878772]",0.003039554756593587
103,"[0.0895989619633385, 0.7359604808773806]",0.06594129513265273
104,"[0.9014187176380659, 0.04979189955885566]",0.04488335024910704
105,"[0.5327808231588734, 0.8439815919447384]",0.44965720728725417
106,"[0.20269151890999604, 0.8904970809703316]",0.18049620592679425
107,"[0.34458851285332104, 0.39060066828503803]",0.13459650340385462
108,"[0.6179486865556715, 0.02878744712814052]",0.017789165142125273
109,"[0.20502944838385107, 0.861609787924519]",0.17665537954029104
110,"[0.43973330095105745, 0.32386756112580617]",0.14241535172481912
111,"[0.2417278818898151, 0.9713797893645586]",0.23480957899366947
112,"[0.5254810379637389, 0.40845046721124134]",0.21463297546693721
113,"[0.48195937632233143, 0.4139595247797917]",0.19951167438555711
114,"[0.45089514684474563, 0.9481383200938042]",0.42751096706782626
115,"[0.9715007418455338, 0.20326831173661886]",0.19747531564581444
116,"[0.6951403508337541, 0.48124969258682826]",0.3345360801434441
117,"[0.23773387466108065, 0.32174279260887106]",0.07648916073118342
118,"[0.5156327661199782, 0.8211455637536083]",0.42340955842542194
119,"[0.36539484237117725, 0.5269428351142245]",0.19254219417518328
120,"[0.24999225541604186, 0.44479150462813144]",0.1111944314318814
121,"[0.813286221913788, 0.13422935807682013]",0.10916688750021004
122,"[0.9609983100152766, 0.7648655657983328]",0.7350345161210761
123,"[0.22542060515520446, 0.6544891346365561]",0.14753533679727857
124,"[0.5020020324903008, 0.6825519092559159]",0.3426424457266052
125,"[0.183018498963203, 0.2778550368840611]",0.050852611779886266
126,"[0.08836404406243026, 0.4950110629064811]",0.04374117937405873
127,"[0.9894817369942676, 0.9937695806753021]",0.9833168508586628
